"Country","Time","Values"
"Iceland","2021-Q4","2.0"
"Iceland","2022-Q1","1.6"
"Norway","2018-Q1","16.1"
"Norway","2018-Q2","15.9"
"Norway","2018-Q3","17.1"
"Norway","2018-Q4","14.1"
"Norway","2019-Q1","14.9"
"Norway","2019-Q2","15.2"
"Norway","2019-Q3","16.5"
"Norway","2019-Q4","19.1"
"Norway","2020-Q1","17.9"
"Norway","2020-Q2","21.8"
"Norway","2020-Q3","18.3"
"Norway","2020-Q4","20.1"
"Norway","2021-Q1","21.9"
"Norway","2021-Q2","20.0"
"Norway","2021-Q3","25.5"
"Norway","2021-Q4","27.5"
"Norway","2022-Q1","25.3"
"Switzerland","2018-Q1","36.6"
"Switzerland","2018-Q2","39.5"
"Switzerland","2018-Q3","38.1"
"Switzerland","2018-Q4","38.6"
"Switzerland","2019-Q1","40.3"
"Switzerland","2019-Q2","39.0"
"Switzerland","2019-Q3","42.1"
"Switzerland","2019-Q4","44.4"
"Switzerland","2020-Q1","45.4"
"Switzerland","2020-Q2","48.0"
"Switzerland","2020-Q3","44.1"
"Switzerland","2020-Q4","41.0"
"Switzerland","2021-Q1","38.8"
"Switzerland","2021-Q2","34.3"
"Switzerland","2021-Q3","33.7"
"Switzerland","2021-Q4","32.1"
"Switzerland","2022-Q1","31.1"
"United Kingdom","2018-Q1","165.8"
"United Kingdom","2018-Q2","167.8"
"United Kingdom","2018-Q3","204.1"
"United Kingdom","2018-Q4","187.6"
"United Kingdom","2019-Q1","166.2"
"United Kingdom","2019-Q2","156.0"
"United Kingdom","2019-Q3","193.9"
"United Kingdom","2019-Q4","202.9"
"United Kingdom","2020-Q1","183.3"
"United Kingdom","2020-Q2","156.5"
"United Kingdom","2020-Q3","253.0"
"United Kingdom","2020-Q4",":"
"United Kingdom","2021-Q1",":"
"United Kingdom","2021-Q2",":"
"United Kingdom","2021-Q3",":"
"United Kingdom","2021-Q4",":"
"United Kingdom","2022-Q1",":"
