"Country","Time","Values"
"Finland","2021-Q2","35.3"
"Finland","2021-Q3","36.1"
"Finland","2021-Q4","32.2"
"Finland","2022-Q1","33.8"
"Sweden","2018-Q1","51.9"
"Sweden","2018-Q2","55.5"
"Sweden","2018-Q3","59.2"
"Sweden","2018-Q4","58.3"
"Sweden","2019-Q1","66.0"
"Sweden","2019-Q2","60.5"
"Sweden","2019-Q3","68.9"
"Sweden","2019-Q4","74.8"
"Sweden","2020-Q1","64.4"
"Sweden","2020-Q2","84.5"
"Sweden","2020-Q3","69.1"
"Sweden","2020-Q4","58.0"
"Sweden","2021-Q1","55.2"
"Sweden","2021-Q2","25.5"
"Sweden","2021-Q3","18.8"
"Sweden","2021-Q4","16.6"
"Sweden","2022-Q1","12.8"
"Iceland","2018-Q1","2.2"
"Iceland","2018-Q2","2.1"
"Iceland","2018-Q3","1.8"
"Iceland","2018-Q4","1.9"
"Iceland","2019-Q1","2.6"
"Iceland","2019-Q2","3.0"
"Iceland","2019-Q3","2.5"
"Iceland","2019-Q4","2.0"
"Iceland","2020-Q1","2.3"
"Iceland","2020-Q2","4.8"
"Iceland","2020-Q3","3.1"
"Iceland","2020-Q4","4.5"
"Iceland","2021-Q1","2.5"
"Iceland","2021-Q2","2.3"
"Iceland","2021-Q3","2.5"
"Iceland","2021-Q4","2.4"
"Iceland","2022-Q1","2.7"
"Norway","2018-Q1","19.6"
"Norway","2018-Q2","18.3"
"Norway","2018-Q3","19.3"
"Norway","2018-Q4","18.8"
"Norway","2019-Q1","18.8"
"Norway","2019-Q2","17.8"
"Norway","2019-Q3","19.8"
"Norway","2019-Q4","19.7"
"Norway","2020-Q1","19.6"
"Norway","2020-Q2","24.0"
"Norway","2020-Q3","19.0"
"Norway","2020-Q4","17.6"
"Norway","2021-Q1","21.9"
"Norway","2021-Q2","18.2"
"Norway","2021-Q3","26.8"
"Norway","2021-Q4","23.4"
"Norway","2022-Q1","21.6"
"Switzerland","2018-Q1","44.7"
"Switzerland","2018-Q2","34.8"
"Switzerland","2018-Q3","43.0"
"Switzerland","2018-Q4","36.4"
"Switzerland","2019-Q1","37.1"
"Switzerland","2019-Q2","40.1"
"Switzerland","2019-Q3","37.5"
"Switzerland","2019-Q4","35.1"
"Switzerland","2020-Q1","36.4"
"Switzerland","2020-Q2","50.5"
"Switzerland","2020-Q3","29.9"
"Switzerland","2020-Q4","37.7"
"Switzerland","2021-Q1","36.7"
"Switzerland","2021-Q2","32.9"
"Switzerland","2021-Q3","38.7"
"Switzerland","2021-Q4","34.7"
"Switzerland","2022-Q1","29.4"
"United Kingdom","2018-Q1","157.0"
"United Kingdom","2018-Q2","147.2"
"United Kingdom","2018-Q3","164.4"
"United Kingdom","2018-Q4","155.6"
"United Kingdom","2019-Q1","166.8"
"United Kingdom","2019-Q2","140.5"
"United Kingdom","2019-Q3","155.4"
"United Kingdom","2019-Q4","165.0"
"United Kingdom","2020-Q1","214.0"
"United Kingdom","2020-Q2","189.3"
"United Kingdom","2020-Q3","219.1"
"United Kingdom","2020-Q4",":"
"United Kingdom","2021-Q1",":"
"United Kingdom","2021-Q2",":"
"United Kingdom","2021-Q3",":"
"United Kingdom","2021-Q4",":"
"United Kingdom","2022-Q1",":"
